Date,AAPL,AMZN,AVGO,BRK-B,GOOG,INTC,JPM,LLY,MA,META,MSFT,NFLX,NVDA,ORCL,TSLA,XOM
2020-04-08,281833228682.8613,50851337614.198456,9150518292.17208,179832280.6382904,663000000000.0,221361913574.21875,247625006595.08804,130964865194.76418,32192157029.511078,478000000000.0,1198031092122.3752,163211380804.7937,4068830034.2559814,152078612185.85205,6635167600.841385,143587711491.72125
2020-04-09,283866976302.7954,50845363372.343506,8912208067.771091,182496673.5921936,663000000000.0,214456095863.3423,269840363321.41498,130525959079.99629,32007999025.511536,478000000000.0,1198103629039.2034,163035471241.80157,4007862384.7961426,155141803004.3335,6927248723.55265,141230068871.95468
2020-04-13,289438609557.18994,53984305243.181335,9109167955.591202,177723372.3924408,663000000000.0,220311085502.6245,257839828122.70786,129352663042.38033,31288001395.608353,478000000000.0,1200788075257.1797,174469767309.80157,4113031791.6870117,154529152810.66895,7869620508.022827,140018480795.8725
2020-04-14,304056101724.54834,56833027332.00763,9379369189.57202,181649346.4385376,663000000000.0,227667253486.6333,250776106021.01022,135344659638.66333,32164841262.303284,478000000000.0,1260207183927.9978,181871269205.48425,4327942617.416382,157533986253.1128,8582171937.774742,138937879137.85632
2020-04-15,301280867274.7803,57439361607.38928,9022251953.15401,177535079.0656128,663000000000.0,220949066917.41943,238407966965.23218,135407395952.91347,30551369379.610184,478000000000.0,1247003143883.935,187676378731.5,4280540714.263916,155083457658.26416,8823235520.631958,132552569488.35593
2020-04-16,303674809514.46533,59941106717.58588,9052041398.427925,176960775.0809784,663000000000.0,228155171981.81152,229322249297.59686,138587028214.85272,29318095209.26973,478000000000.0,1284439272570.3457,193138459912.31732,4491793813.705444,156658782002.13623,9009171106.390205,128197428348.78415
2020-04-17,296737531655.12085,59114990225.0,9318040266.338387,180011164.326828,663000000000.0,226541305122.3755,249935822139.5402,140879931781.09973,30887603851.023468,478000000000.0,1295756888540.6086,186009606431.38898,4455518589.019775,159342667921.32568,9114107441.178276,141524768150.92078
2020-04-20,290578088185.5774,59578200959.33783,9051689866.807814,177704538.75,663000000000.0,222112567352.29492,240823881923.95218,141327768955.25842,29908594414.52449,478000000000.0,1270073945502.6309,192399618274.0874,4375193063.735962,157271432195.80078,9023073472.47084,134844751157.78131
2020-04-21,281596260894.5465,57948121663.12979,8679151754.134893,172742929.8575592,663000000000.0,211528633346.55762,233838873959.992,136741918043.06154,29150569721.702805,478000000000.0,1217547236639.2905,190790019601.68268,4107849866.8670654,149686465026.97754,8302059702.85405,134124358117.11014
2020-04-22,289707233142.3569,58942607950.041016,9110918750.818481,175661526.7039032,663000000000.0,225565468132.01904,234600350715.96588,140360441826.5344,30524036785.44107,478000000000.0,1258901171247.8901,185332353942.81732,4361475860.595703,152487053668.27393,8850799519.181442,137955537455.07202
2020-04-23,288584463395.5383,59839409325.69238,9074468505.757856,174767122.6270752,663000000000.0,221587145240.7837,234731672678.18646,143244488127.75336,30399289172.871704,478000000000.0,1243665749355.4382,187654395069.01575,4328856903.076172,151611849417.29736,8720227487.467537,142277895699.09903
2020-04-24,296915935412.7884,60107999183.8667,9280540764.207754,175605040.1424408,663000000000.0,222412806251.52588,238197861124.45514,145931481986.23694,30743843641.826035,478000000000.0,1262610054030.9275,186902360549.0874,4413907064.437866,154645819442.8711,8961457279.667187,143194752237.5233
2020-04-27,297125654899.559,59254594123.74365,9408107090.1515,176490034.5809784,663000000000.0,223200979797.36328,248465267229.6184,144472908471.37646,31499484515.127533,478000000000.0,1258993293649.4543,185314758960.2063,4528069330.215454,155696083791.9922,9871011341.25,143882426900.03326
2020-04-28,292309447877.92206,57710383193.80005,9277737661.744566,176169920.1229248,663000000000.0,220498684341.43066,250224665364.99432,140898916311.1787,31437703391.81375,478000000000.0,1228323036014.752,177596601061.68268,4440885349.273682,155200148350.40283,9504841463.87989,147255186033.456
2020-04-29,301910413918.6859,59172542970.16406,9673405182.446165,178514212.9846344,663000000000.0,231945896034.24072,256973321693.28513,138982104149.3086,33705839422.59558,478000000000.0,1283442644742.4243,181141245190.1189,4549102861.404419,157183890116.76025,9892761388.733788,155408731680.11783
2020-04-30,308279609943.35175,61698593636.25635,9519205570.394754,176395880.7346344,663000000000.0,225115117858.88672,251458822145.36734,138516254871.04688,32669780978.23819,478000000000.0,1296318270043.3877,184641895151.50787,4454907800.674438,154529152810.66895,9662530368.839321,152166942835.41522
2020-05-01,303316513303.2608,57011098983.83594,9101455611.110058,171980332.5460968,663000000000.0,215694635833.74023,244867733574.18948,137611599507.27466,31929585385.765137,478000000000.0,1262754928103.029,182627692405.28583,4310110107.421875,151086729272.70508,8666963984.423733,141262779185.4429
2020-05-04,307608057856.102,57758014874.041016,9191175478.551912,167536541.076828,663000000000.0,217646325965.88135,241952962536.997,137298085278.08862,31991373987.728394,478000000000.0,1293641686847.078,188292068912.49213,4439818731.307983,150970062640.50293,9406841794.50491,146960454495.7981
2020-05-05,312224862716.71295,57803154044.05127,9282645378.679571,165728899.2807312,663000000000.0,220498684341.43066,241585381926.86575,141427448003.29175,32552164257.94333,478000000000.0,1307530273511.6008,186766029631.19055,4477160573.959351,151845254861.51123,9493595901.582775,146796757764.24387
2020-05-06,315446150065.3076,58637608415.70264,9258460613.249083,162292499.3770752,663000000000.0,223367226448.05908,237042534716.51794,140343574934.7246,32369199098.535065,478000000000.0,1320406014526.6792,190979135467.4126,4538891052.246094,151290962043.88428,9671181454.115238,144046091372.8957
2020-05-07,318709500357.3227,59045356451.93335,9383576130.891228,163328119.8575592,663000000000.0,223329448257.4463,239510825030.3243,137020443778.41284,33085627542.976257,478000000000.0,1328073347507.1245,191977432638.69843,4646803899.765015,153449775938.3545,9639791747.118511,144864784712.16348
2020-05-08,326295281042.70935,59344621310.06152,9638710307.861671,166482086.9539032,663000000000.0,225216645736.69434,243423517446.9188,137504083478.67334,33557320922.669617,478000000000.0,1335885554559.6714,191546442801.48425,4763100276.9470215,156279549282.6538,10126452418.457832,151217343724.8109
2020-05-11,331429671744.8425,60077571532.25635,9651678850.73203,164420241.2653656,663000000000.0,226952891967.77344,236254765671.7723,142018603732.15356,33413558843.809814,478000000000.0,1350786639731.2935,193732153009.78583,4917348117.828369,156162846560.54688,10025981313.490295,149776541514.12268
2020-05-12,327641956599.1974,58779510257.69238,9408107090.1515,162697329.3114624,663000000000.0,220385478981.01807,228534526746.7306,141275156737.04297,32329977321.362915,478000000000.0,1320188819132.642,189906069685.80945,4757002315.52124,152487053668.27393,10002748404.650974,147273041219.36896
2020-05-13,323686022748.22235,59053088941.687256,9222366475.05742,160588421.0656128,663000000000.0,217932141639.70947,220656766558.4553,141463247761.42383,31979490413.712463,478000000000.0,1300224084284.3733,192742646619.28583,4743285112.380981,150678323880.188,9774742030.357132,139962786164.47467
2020-05-14,325674521943.74084,59575054832.23071,9343273526.297407,160927340.4343872,663000000000.0,222989799873.35205,229821198363.82803,142534234084.60547,32947799772.474945,478000000000.0,1305866420250.6204,194361049493.51575,4896009338.378906,154354140832.39746,9927611105.560093,141197874697.5353
2020-05-15,323749117163.35297,60097024528.1333,9126338864.531918,159345659.25,663000000000.0,219970258064.27002,225567217625.87402,143299149259.1748,33141481836.581024,478000000000.0,1324890630771.3804,199743959963.10315,5201988587.379456,154383301475.46387,9876201709.561691,140196451998.54956
2020-05-18,331376993860.5118,60508018535.70264,9586142986.17919,165192262.5809784,663000000000.0,226160244476.31836,237515191493.9774,142156213157.11377,34443645586.56134,478000000000.0,1337549523534.767,199035906189.18268,5360975532.531738,155054260925.29297,10054899584.894466,151345442989.96057
2020-05-19,329462170952.6825,61083354588.0564,9530770274.409094,162396062.8617096,663000000000.0,227556777717.59033,232841045568.3487,141022296317.39502,34542266537.18945,478000000000.0,1328290195758.8164,198358653700.61102,5394825940.132141,152691262379.5166,9985446941.233788,146672223084.53845
2020-05-20,335869660128.66974,62295631651.7334,9766630453.049955,165719489.6424408,663000000000.0,238162758422.85156,239825983791.48987,137809439507.77954,35501081750.4433,478000000000.0,1346714775735.1436,196876595165.31732,5495609421.7300415,154324944099.42627,10078750529.415588,151445541710.62518
2020-05-21,333365625329.43726,61018762422.16919,9630651007.009268,164702688.4385376,663000000000.0,233935445114.13574,236779844298.19748,137044495144.65894,34961665460.42819,478000000000.0,1330538983871.6125,191854294602.5,5376291646.957397,152341190303.1006,10227541559.10717,148741747198.46674
2020-05-22,335511893631.13403,60772867725.85132,9695487621.029263,164693264.4343872,663000000000.0,234992265365.6006,234941708778.14447,136036556092.21948,35038904952.207,478000000000.0,1331119405872.9392,188806618140.80945,5530069799.423218,153508121284.42383,10095063418.595753,148875314311.87698
2020-05-26,333239370362.47253,60398287199.805176,9883684382.215271,169786680.0921936,663000000000.0,235294248619.0796,251616389902.4803,133156740652.58936,36039297717.21765,478000000000.0,1317047412335.9875,182407802096.28583,5341062355.041504,153974859993.042,10119655440.227318,153248092891.19202
2020-05-27,334691236345.86334,60112238353.93848,10078891187.183676,174898929.3924408,663000000000.0,239898988502.50244,266190268335.3823,131122824023.02588,35616331478.17929,478000000000.0,1318788099769.3923,184659490134.1189,5223125224.113464,155200148350.40283,10136462616.525993,154349630440.18835
2020-05-28,334838522784.53827,59880556673.974365,9922934679.573183,174268138.846344,663000000000.0,232878641014.09912,262225200563.70145,135577580717.78174,35916920836.53189,478000000000.0,1315814015583.168,181822899779.60315,5199691228.866577,156425388587.89062,9958259735.446377,150344036420.32068
